Mention_Type,Date,Title,Link,Snippet
Joint Mention,2026-02-16 13:37:49 UTC,Transforming Global Experiences with India's AI Stack,https://www.linkedin.com/posts/tarunmalik_a-journey-that-started-long-back-is-now-showing-activity-7429157055854206976-5PSL,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-16 12:17:23 UTC,India Hosts AI Summit Amid High Stakes for Leapfrogging ...,https://www.linkedin.com/posts/mehboobjeelani_indias-ai-ambitions-are-under-scrutiny-with-activity-7429136815678189568-fWy9,Business & Strategy @ Adya.ai | Agentic AI & Intelligent Growth Systems for Startups ... Adya Shayak Mazumder Amit Srivastava #Mahakumbh_of_AI ...Read more
Joint Mention,2026-02-16 11:33:57 UTC,STPI - Software Technology Parks of India's Post,https://www.linkedin.com/posts/stpiindia_indiaaiimpactsummit2026-responsibleai-activity-7429125884663562242-pNLV,"... Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr. Harshil ..."
Joint Mention,2026-02-15 14:20:46 UTC,"Jawar Singh, Ph.D.'s Post",https://www.linkedin.com/posts/jawarsingh_i-will-be-speaking-at-the-ai-impact-summit-activity-7428805477292994560-4mlP,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-15 02:36:08 UTC,Sulaxman Kaja's Post - Panelist in The Hindu Tech Summit,https://www.linkedin.com/posts/sulaxmankaja_panelist-in-the-hindu-tech-summit-activity-7428628149594230784-yCoG,"Shayak Mazumder, CEO and CTO, Adya.AI; offered insight into From Pilots to Platforms Accelerating AI Deployment in Large Enterprises & Government The Leela ...Read more"
Joint Mention,2026-02-14 14:07:11 UTC,Santosh Kevlani's Post - voicera # ...,https://www.linkedin.com/posts/santoshkevlani_voicera-activity-7428439673846292480-Ag0e,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-13 12:14:21 UTC,AISSMS Students Learn AI & Machine Learning Insights,https://www.linkedin.com/posts/edu-plus-now_eduplusnow-aissms-ai-activity-7428048889452281856-TKjF,"Onward to more learning, building, and problem-solving Shayak Mazumder ... ADYA AI, and it was a great learning experience. The session gave me ...Read more"
Joint Mention,2026-02-11 19:32:57 UTC,Check Adya Platform at India AI Summit 2026!,https://www.linkedin.com/posts/adyadotai_check-adya-platform-at-india-ai-summit-2026-activity-7427434491700334595-uI93,And we're excited to share that Adya.ai will be participating at the India AI Impact Summit 2026. ... More details coming soon Shayak Mazumder Amit Srivastava ...Read more
Joint Mention,2026-02-11 09:30:16 UTC,Adya's Post,https://www.linkedin.com/posts/adyadotai_buildatids-indiadigitalsummit2026-iamai-activity-7427282821104386048-Htmj,"Shayak Mazumder, Founder of Adya thank you for clearly explaining how the Adya.ai platform works, how agentic systems are structured, and how builders can ...Read more"
Joint Mention,2026-02-10 09:30:44 UTC,Adya's Post,https://www.linkedin.com/posts/adyadotai_great-to-see-meaningful-conversations-taking-activity-7426920548321947648-sU-I,"🎙️ Featuring insights from • Shayak Mazumder – CEO & CTO, Adya.AI • Sudarsun Santhiappan, PhD – Chief AI Scientist, BUDDI AI • Anindya Moitra– Director ...Read more"
Joint Mention,2026-02-10 01:53:40 UTC,AI in Healthcare: Transforming Lives with Trust and ...,https://www.linkedin.com/posts/maruttaneja_ai-healthcareai-responsibleai-activity-7426805525910081536-GPzw,Business & Strategy @ Adya.ai | Agentic AI & Intelligent Growth Systems for Startups ... Shayak Mazumder Amit Srivastava #IndiaAIImpactSummit2026 ...Read more
Joint Mention,2026-02-09 09:30:00 UTC,#adyalaunchlab #buildathon #adyaai #adya #ai # ...,https://www.linkedin.com/posts/adyadotai_adyalaunchlab-buildathon-adyaai-activity-7426557978209738752-PW3W,"... Adya #AI #StudentInnovation #LearningByBuilding. ... Shayak Mazumder sir (CEO, Adya) and the Adya team for creating a powerful ...Read more"
Joint Mention,2026-02-07 09:31:12 UTC,Adya's Post,https://www.linkedin.com/posts/adyadotai_a-thoughtful-perspective-from-shayak-mazumder-activity-7425833501456744448-wodb,"A thoughtful perspective from Shayak Mazumder, CEO of Adya.ai, on India's evolving AI and startup landscape. The emphasis on data centers, treating startups ..."
Joint Mention,2026-02-06 09:30:34 UTC,#adyalaunchlab #buildathon #adyaai #adya #ai #aiagents ...,https://www.linkedin.com/posts/adyadotai_adyalaunchlab-buildathon-adyaai-activity-7425470956946526210-IPJn,... Adya #AI #AIAgents #AppStudio #AgentStudio #TechWorkshop #Innovation ... Shayak Mazumder Adya @kamal @balaji @saravanamuthu.Read more
Joint Mention,2026-02-05 12:38:11 UTC,"Vision Model Training: Less Data, Better Learning",https://www.linkedin.com/posts/shashank-mishra-6a870b212_machinelearning-deeplearning-computervision-activity-7425155782708494336-opTC,"At Adya AI workshops, the focus is simple: understand how AI actually works ... Onward to more learning, building, and problem-solving Shayak Mazumder ...Read more"
Joint Mention,2026-02-05 07:41:51 UTC,Madhya Pradesh Regional AI Impact Conference 2026 ...,https://www.linkedin.com/posts/mpsedc_indiaaiimpactsummit2026-regionalaiimpactsummit-activity-7425081209619169281-M6gF,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-05 03:30:13 UTC,Anthropic Proves Futility of Build vs Buy Debate,https://www.linkedin.com/posts/smhaaz_who-says-it-and-what-platform-they-say-it-activity-7425017885066018816-FZgB,Anthropic Proves Futility of Build vs Buy Debate. View profile for Shayak Mazumder ... ADYA AI Independence Week Launch. Shayak Mazumder 6mo · Beyond the Hype ...Read more
Joint Mention,2026-02-04 09:32:11 UTC,Hands-on AI Learning for Future Builders,https://www.linkedin.com/posts/adyadotai_ai-adyaai-workshop-activity-7424746589191081984-Gx94,... solving Shayak Mazumder Chennai Institute of Technology Adya #AI #ADYAAI #Workshop #Learning #ArtificialIntelligence #StudentLife.
Joint Mention,2026-02-03 02:22:58 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_precisely-what-ive-been-saying-from-the-activity-7424276185385234432-eVlZ,"Shayak Mazumder 1mo · ADYA AI Independence Week Launch. Shayak Mazumder 5mo · Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 10mo ...Read more"
Joint Mention,2026-02-02 06:06:27 UTC,Ankush Das' Post - inc42 #ai #unionbudget2026,https://www.linkedin.com/posts/ankush-das_inc42-ai-unionbudget2026-activity-7423970035544584193-mmmB,"... Shayak Mazumder (Adya.ai) sees a mature, platform-first government approach, but points to missing clarity around procurement, compliance, and execution for ..."
Joint Mention,2026-01-31 13:07:29 UTC,#launchlab #agenticai #techforgood #studentinnovation,https://www.linkedin.com/posts/adyadotai_launchlab-agenticai-techforgood-activity-7423351218552438785-clVB,... Shayak Mazumder Karpagam College of Engineering Adya #LaunchLab #AgenticAI #TechForGood #StudentInnovation. ... Sharing my demo below #Adya #AI ...Read more
Joint Mention,2026-01-30 09:18:58 UTC,#agenticworkflows #adya #launchlab #aiforgood # ...,https://www.linkedin.com/posts/adyadotai_agenticworkflows-adya-launchlab-activity-7422931321397592064-QVQr,"... Adya.ai, we strive to make complex AI workflows accessible to innovators ... Shayak Mazumder Karpagam Institute of Technology #AgenticWorkflows #Adya ..."
Joint Mention,2026-01-29 14:25:48 UTC,Gururaghavendra Padmanaban's Post,https://www.linkedin.com/posts/gururaghavendra-padmanaban-455867290_adyaai-leadership-publicspeaking-activity-7422646149574062081-PKrl,"... Shayak Mazumder sir and the rest of the Adya AI team - sushma billu mam, CCO Archana mam, Bhuvaneshwaran K sir and the rest of the team for being so ..."
Joint Mention,2026-01-25 04:30:01 UTC,Raghunath Chava Appointed Senior Director at Hitachi ...,https://www.linkedin.com/posts/cxolanes_raghunathchava-hitachidigitalservices-activity-7421046666725732352-Z0vU,"Shayak Mazumder, CEO and CTO, Adya.AI; offered insight into From Pilots to Platforms Accelerating AI Deployment in Large Enterprises & Government The Leela ...Read more"
Joint Mention,2026-01-24 03:30:03 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_im-excited-to-moderate-this-panel-of-luminaries-activity-7420669185372045312-HU3L,"Shayak Mazumder's Post. View profile for Shayak Mazumder. Shayak Mazumder ... Adya.ai; Mykolas Majauskas, Bybit; Natarajan Ramamurthy, Target; Prashant D ...Read more"
